Gene,log2FoldChange,padj
THOC3,1.341584211,9.21649354492305e-51
SCRIB,1.488666659,9.58545221699694e-51
MELTF-AS1,1.743143277,9.60272864078246e-51
CAD,1.093278888,1.02445299477024e-50
NEK10,-3.349370034,1.09205055204683e-50
C8orf34,-3.001361411,1.11629980485671e-50
ARID4A,-1.039429622,1.23112565289102e-50
ALB,-4.654419723,1.24145608584402e-50
AL021368.2,-1.545352556,1.32037604282928e-50
HS3ST3A1,2.038458542,1.3245256231424e-50
ITM2A,-2.225205339,1.43723496921721e-50
GRK6,1.149114105,1.47603427393774e-50
PPIH,1.05700703,1.54685100190921e-50
SLC35G2,-1.992282812,1.58278202932597e-50
RHBDD3,1.337604282,1.62335407871031e-50
LINC01485,-3.511647628,1.71863934274607e-50
DNASE2,0.978136172,1.75736412986153e-50
TMEM245,-1.199095463,1.94797923431933e-50
IGHGP,3.78135265,2.05310784176835e-50
ADGRD1,-2.742202264,2.06319853826165e-50
TLN2,-1.897484321,2.09989571339879e-50
SIDT2,-1.161759963,2.24607665512611e-50
AC024940.1,3.722980342,2.25474649605407e-50
MPHOSPH10,0.836539101,2.3460051621214e-50
PTGDR2,-2.206065708,2.35262417499812e-50
GMIP,1.275564102,2.46028370915362e-50
PRDM5,-1.508816948,2.46718687648692e-50
TPCN1,-1.027131393,2.55161072287995e-50
DNAJC27,-0.934042761,2.56974458316493e-50
TMEM14A,1.095786046,3.26160783324615e-50
MSH6,1.115174553,3.29954110269685e-50
LRRC45,1.699917368,3.4012755882692e-50
AC069544.2,0.880312353,3.79515026890254e-50
BTG2,-2.01252598,3.91951129815543e-50
HEATR3,0.841103614,4.12768016599154e-50
IGF1,-2.811542579,4.1279501161038e-50
ZNF707,1.364568676,4.44033802546868e-50
RIPPLY3,2.864285334,4.91554823535002e-50
RBM43,-1.143739334,5.19980263782174e-50
PCNX3,0.88551178,5.33961341742455e-50
IFI6,2.638729714,5.87953230267522e-50
STEAP2,-1.71943139,5.96075158514629e-50
PPARD,0.909785468,6.80493510118621e-50
AL138724.1,1.634584317,7.05057535377202e-50
AC121247.1,-2.256591935,7.12145080131134e-50
TRPM2,1.659960508,7.26843811404353e-50
EIF2S2,0.943102644,7.32439661322885e-50
PECAM1,-1.766804439,7.49783029036737e-50
UCHL5,1.003047034,7.69955862594698e-50
RPL26L1,1.202926386,7.76629185709097e-50
TREX2,2.204068704,7.7902042789724e-50
CMA1,-3.594131398,8.02012709499088e-50
KLRG2,2.973188404,8.7880874236645e-50
LEMD1,3.642713855,9.20147162753769e-50
DUBR,-1.277715059,9.40168321226499e-50
AC112497.2,1.478652645,1.11509297130004e-49
LIMA1,-1.509241538,1.14447273525508e-49
PARP12,1.203801682,1.19189631053955e-49
NCL,0.774657068,1.2136331342399e-49
RTL5,-1.588147891,1.22410202285639e-49
ATP6V1C2,2.334709351,1.2621154376808e-49
ERH,0.983132496,1.30558735361643e-49
EIF3J-DT,-1.078285861,1.36328554887972e-49
AHSA1,0.969243739,1.37600032238385e-49
ZNF25,-1.138470037,1.39629480274076e-49
TNFRSF18,2.506844999,1.49668655223343e-49
TARDBP,0.53027328,1.54331266367053e-49
AC069544.1,1.493708665,1.59341406152642e-49
CCBE1,-2.236308843,1.60619706475124e-49
ARHGEF6,-1.696987823,1.62930768811899e-49
TK2,-1.372097627,1.64245100771531e-49
CCND2-AS1,-2.07492949,1.70883529618256e-49
EDEM2,0.874932159,1.74297752380733e-49
LCLAT1,1.092025442,1.99925406983096e-49
TCEAL1,-1.141105401,2.09361653330228e-49
OSTC,0.967538653,2.32840431229029e-49
KIAA1841,1.256057255,2.34845825187311e-49
C14orf28,-1.161409011,2.36989776890058e-49
TMEM97,1.608679979,2.41119849527666e-49
TMEM41A,0.857410163,2.42640088780206e-49
ANAPC7,0.810388026,2.72280233860243e-49
ABCA5,-1.588402403,2.74853336489011e-49
HTR7P1,-1.106443694,2.83637719279162e-49
LDB3,-2.115401713,2.84415355688558e-49
RIBC2,2.104784871,2.87131586218976e-49
AC024909.1,-2.569986632,2.93563768698503e-49
ENTPD7,1.060575411,3.01358686826173e-49
DYNLT1,1.032902524,3.0200046338277e-49
BARX1,4.783141756,3.19153431431066e-49
B4GALT2,1.246576136,3.19300542343135e-49
CMAS,1.113045764,3.40714147328114e-49
CALU,1.260693158,3.47340774407338e-49
MRPL48,0.912745769,3.49806860615385e-49
FGD1,1.648809094,3.68639084695227e-49
ACTA2-AS1,-2.922918808,3.72536573738098e-49
CFL2,-1.493233164,4.25547583672158e-49
ELOVL5,-1.52900811,4.54892295435319e-49
TFPI,-1.923041662,4.66373159765956e-49
PGAP4,-2.177886011,4.94001543200408e-49
ANTXR2,-1.78543088,5.01238778669975e-49
NISCH,-0.873577613,5.12042478089525e-49
CCDC85A,-2.726766471,5.13788238698755e-49
LGI4,-2.176569381,5.27784409544821e-49
COMMD5,1.199022935,5.27784409544821e-49
N4BP2L1,-1.456006546,5.31858891526207e-49
GINS3,1.109756903,5.36392057714768e-49
DBF4B,0.979180113,5.54799821067719e-49
AL136162.1,1.950639287,5.74803346301135e-49
ABHD12,1.026664449,5.90986331393806e-49
TMEM132E,3.930146629,5.93401806722952e-49
EEPD1,-1.677181667,6.13122594327467e-49
ACSL1,-2.600082255,6.18443087919774e-49
AC105001.1,-1.598033869,6.29123273273689e-49
MIIP,1.376449775,6.74176240939169e-49
CNN1,-3.061477036,6.80070284941721e-49
PDAP1,1.096188002,8.40911676513755e-49
AC026691.1,-1.370698754,8.43523559844272e-49
C3orf18,-1.406385183,8.47590200638566e-49
YIF1A,1.188973951,8.96729619485572e-49
TIMM29,0.843430382,9.15295152492152e-49
UQCRH,1.222847078,9.4641405376192e-49
MMP27,-3.048538776,9.71986200687689e-49
PRRC2A,0.781689109,1.17284229442858e-48
PABPC1,1.185666113,1.19300628736036e-48
AC061992.2,2.339169589,1.2157975407322e-48
AC100793.4,-2.639957352,1.25631594471949e-48
PPP6R1,0.86931096,1.29201773108669e-48
ACP1,0.955980585,1.35254087955998e-48
DNAJB4,-1.311021176,1.35626265110714e-48
RMDN2,-1.172156973,1.44510127148973e-48
CMYA5,-2.487025907,1.44510127148973e-48
AC025917.1,-2.175226504,1.44850170887727e-48
CES2,-0.849600973,1.48681491556624e-48
CDNF,-1.444210573,1.49220335650527e-48
RTL8A,1.1373969,1.52299375225053e-48
COTL1,1.705148405,1.55707648078222e-48
KDM2B,0.921914482,1.56029742796973e-48
TMEM92,3.208336873,1.65758618416161e-48
RUFY4,3.082136642,1.69564334551953e-48
TMEM9B-AS1,-1.566535075,1.71109981561518e-48
PPIA,1.018386175,1.76153958950995e-48
ACO1,-2.016651909,1.79997839695396e-48
RBM17,0.933380093,1.88143021578906e-48
AP2M1,0.960507227,1.94646667899014e-48
CSTB,1.855055889,1.95827791504893e-48
SEH1L,1.061153523,1.98177667729715e-48
JAM3,-1.753341743,2.0300105153676e-48
CLK4,-0.995674185,2.03833766864523e-48
BUD31,0.836692967,2.05738016840555e-48
KCNE1,-2.582736755,2.06908205688876e-48
SNRK,-1.047876365,2.21571932113095e-48
ZNF724,1.666014332,2.38416187336414e-48
DYNC2H1,-1.564357432,2.39826312541886e-48
MCM8,0.977692966,2.58905973736028e-48
GPBAR1,-2.659047708,2.61361402393893e-48
SPP1,2.840583224,2.66121615613137e-48
GLIPR1L2,-1.938309053,2.66143253849777e-48
CREBL2,-1.138620997,2.6686029900882e-48
LAD1,2.448512006,2.74555294615379e-48
KIAA2013,1.054963391,2.8003688255721e-48
PLA2R1,-1.825265299,2.98489851890534e-48
FERMT2,-1.82979136,3.07394211244858e-48
PI16,-3.83754493,3.07727024562345e-48
KCTD13,0.955558735,3.09246392941385e-48
PHKG2,0.95519174,3.13492693337782e-48
RNF187,0.952014567,3.40013815123096e-48
GPD1L,-1.77214893,3.67142349318775e-48
PTK7,1.855680852,3.69865599128713e-48
NUDT19,1.125719995,3.84759341063393e-48
SEPSECS,-0.937989702,3.92448400787485e-48
NDUFB9,1.418555037,4.25235799426541e-48
SIGMAR1,1.127366403,4.27916213567876e-48
MEOX2,-2.733756594,4.37539283829525e-48
LINC02447,-1.815251784,4.6498488510109e-48
LRP1,-2.004809118,4.67571481269556e-48
PSMD2,1.084465355,4.68142261747329e-48
CIRBP,-1.114335742,4.68465254548198e-48
MRPL37,1.13555099,4.69308813597533e-48
RELL2,1.774246704,4.90939680381698e-48
HMBS,1.197160812,4.91683372690484e-48
KCNK1,1.973999272,5.11221786656914e-48
SRRT,0.913144758,5.45998280052098e-48
TGFBR2,-2.023959263,5.7857129082362e-48
NDC1,1.212924681,5.88765602040058e-48
COA4,0.966540909,6.14252732223617e-48
PDCD1,2.728992993,6.21092031840498e-48
LRIG2-DT,-1.837735339,6.3537895009732e-48
AMER1,1.197090933,6.42102491259156e-48
CCDC80,-2.356906995,6.44054948723368e-48
AL121821.2,-2.599019591,6.44197990860746e-48
BICDL1,2.108309417,6.72730791029562e-48
TMED9,1.178427121,6.80569176616675e-48
FMO5,-2.157688146,6.81071009205683e-48
CCNH,-0.888602687,7.21725962554532e-48
FZD9,2.964269763,7.9353488732547e-48
PDIA3,1.043690898,8.72312568436693e-48
GIPC1,1.428362061,9.0660977863998e-48
C1QTNF7,-3.517720635,9.40005720815906e-48
FAM161B,-1.308790149,9.40549229276915e-48
PCYOX1,-1.380867085,9.59113320119326e-48
DARS2,1.216237962,1.01479492578531e-47
CHRAC1,1.038233989,1.11977211615688e-47
PSMA7,1.167892178,1.12096424507032e-47
EIF6,1.097256581,1.15027428313085e-47
EDDM13,-1.976908174,1.15864385874873e-47
GPATCH4,1.102965227,1.16334085683461e-47
TIPARP,-1.594278231,1.19709172800243e-47
CHPF2,1.054034256,1.2544757064731e-47
FAM149A,-2.122649933,1.34756116482828e-47
AC007240.3,1.89629524,1.39924876642534e-47
UNC13A,2.651055444,1.40580492220132e-47
PAK1IP1,1.110224955,1.49996017050996e-47
HOXB9,3.009752036,1.76615775156719e-47
USB1,0.90266701,1.81014115260835e-47
TPO,-2.687597618,1.97403369327742e-47
ACADSB,-1.889585055,1.97453133654633e-47
MTA2,0.824207921,1.98893490205586e-47
PRPF19,0.836558998,1.99749319011121e-47
BMERB1,-1.797612653,2.01804047894268e-47
NXPH3,-2.037631991,2.092413984107e-47
SEMA5A,-2.123095144,2.11876248098066e-47
ZDHHC13,1.185431087,2.19487187965013e-47
GIPC2,-2.400628988,2.200269862311e-47
PABPC1P4,-1.56562586,2.21263018624017e-47
PALM,-2.486045837,2.23227405891201e-47
FOXL1,2.195371376,2.25602662126053e-47
AP001505.1,1.84345613,2.68617381353653e-47
BDH2,-0.983737708,2.79573537988709e-47
FAT4,-2.071849089,2.85689516509057e-47
HMGN1,1.104375286,3.02186757653649e-47
CHFR,0.879965758,3.07226191567142e-47
HSPB11,0.981458036,3.08301536091162e-47
PLAAT5,-3.336415765,3.18386398544604e-47
AMMECR1,1.149899777,3.25746402083751e-47
SLAMF8,2.359432979,3.32907705508177e-47
CELF4,2.448099942,3.54315677914135e-47
HARBI1,0.802264969,3.54574057675559e-47
SPATS2,0.9329216,3.59402109038451e-47
STMP1,1.053995426,3.76380883088201e-47
WDR53,0.883663482,3.87336933638911e-47
CDH20,-3.189275467,3.98469713860536e-47
THSD4,-2.568381163,4.05903775012467e-47
PRELID3B,0.92513316,4.33022997490571e-47
CPE,-1.813127946,4.38859530810228e-47
CAT,-1.898146097,4.44881069919763e-47
DHX34,1.063654689,4.45935720812938e-47
COPE,1.318977344,4.55486121086636e-47
AL162171.1,-1.685056911,4.72718154564086e-47
C6orf136,0.958500984,5.07508544550657e-47
UFD1,0.814292161,5.26585404724467e-47
AC092645.1,-1.972731247,5.31761144264937e-47
PJVK,-1.111275007,5.71680589202811e-47
EIF4B,-0.88670382,5.9251136140986e-47
RPH3AL,-1.672733731,6.0723198711607e-47
DLC1,-1.946967981,6.07365088447839e-47
TMEM45A,2.154222847,6.1286199227279e-47
CHTOP,0.767420892,6.17556861065503e-47
ADCY6,-1.432910479,6.40421077006904e-47
FER,-1.136312339,7.42844367347163e-47
KIAA1109,-1.28425806,7.57933969677413e-47
CSNK2B,1.119871933,7.69922338391348e-47
ODF2,0.853085234,8.33122811767978e-47
PODN,-2.257868191,8.53983496089143e-47
KIF20B,1.263090124,8.81722309253605e-47
AC135983.2,-1.463477323,8.90198149525349e-47
TMEM104,1.009086825,9.07306590416852e-47
AL354714.2,1.268216135,9.22682221009117e-47
B3GNT7,2.645418177,9.4210112995202e-47
HOXC12,4.680223658,1.012555122001e-46
PARD3B,-1.47362956,1.02516607804519e-46
LINC02580,-1.973556236,1.03010037625328e-46
AC234917.3,1.360784007,1.05417937608228e-46
AL589765.4,1.958164454,1.07515379821441e-46
SAAL1,1.017650262,1.09683686013671e-46
CALCOCO2,-0.938705624,1.10765151683297e-46
SF3B3,0.861111461,1.11345815824895e-46
KIFC2,2.012207451,1.23566253907729e-46
CDK8,0.98325487,1.27426095756066e-46
ARHGAP6,-1.833485247,1.30756583156194e-46
GGTA1,-1.77030019,1.34648336902056e-46
PRKAR2B,-2.686799334,1.37530846922579e-46
SASS6,1.124186893,1.43819059806325e-46
LIN7A,-2.355672445,1.45057851184037e-46
SLC22A20P,2.738410739,1.46628737777487e-46
NCCRP1,3.740705033,1.51778135482181e-46
PMF1,1.083629602,1.58195370449913e-46
ACKR1,-2.985323575,1.59569004039322e-46
LSG1,0.791179466,1.74936613460923e-46
SLC24A2,3.339981939,1.79513131169379e-46
TIPIN,1.132798373,1.79655495585269e-46
AUP1,0.913884982,1.79760931870516e-46
EDN2,3.361952657,1.86187603832967e-46
ABTB2,1.887202268,1.88119692757233e-46
TMEM208,1.149354064,2.01387487998241e-46
SGK2,-3.209905821,2.01872305135653e-46
ERMN,2.715508675,2.01872305135653e-46
TMEM81,1.085131656,2.03401599541623e-46
PCDHGA9,-1.809502314,2.14798662862169e-46
SELENOI,1.195989702,2.263533496177e-46
DGUOK,0.969963986,2.42366435036289e-46
TBC1D10B,0.762378184,2.46813926561697e-46
ABCC9,-2.474398141,2.65319503025913e-46
STARD13,-1.234726017,2.68212452129684e-46
NFKBIB,1.294822935,2.70496502539419e-46
PNPT1,0.97749028,2.71160448480531e-46
LYPD5,2.459701037,2.79474788633163e-46
APBB2,-1.347288635,2.84646528953841e-46
SLC6A11,2.856463779,2.86175729647615e-46
JPT2,0.96918324,2.86709695083827e-46
RBMS2,-1.091226088,2.90589156375042e-46
ESR1,-3.164852881,3.10868167964542e-46
CBX8,1.35209623,3.11146613087907e-46
AL109741.1,-2.178628277,3.44184222916771e-46
TPPP,-2.258061578,3.46525421012366e-46
ARFGAP1,1.125752818,3.51412178454334e-46
HRC,-2.302812326,3.67598910442208e-46
SOX4,1.47322808,3.83643835954203e-46
EEF1AKNMT,0.857166398,4.01538312354095e-46
LRRC8D,1.249781552,4.17055970501899e-46
PDCD10,0.851188356,4.30748238911021e-46
ADGRA2,-1.679572758,4.34787637279169e-46
CTSV,2.604628595,4.5225440700766e-46
MITF,-1.571774484,4.62598345484866e-46
GALNS,1.211854461,4.71759684025483e-46
USP1,1.28594349,4.72959498503792e-46
PALM2AKAP2,-1.545541146,4.73008744072453e-46
RPP38,1.112593334,5.11609438474172e-46
MAGOH2P,-1.651798757,5.118446515729e-46
MPV17L2,1.076547289,5.12030526058245e-46
GPR34,-2.144951045,5.38932060530736e-46
SYTL4,-1.623090314,5.47716530711176e-46
AC243772.2,2.367981043,5.56388936081204e-46
CD276,1.214868006,5.89690200947567e-46
TATDN2,0.819490858,5.99206266453928e-46
SNAP47,0.896221449,6.09578623151805e-46
MED26,0.764761809,6.15115504331102e-46
MTX1,0.967375246,6.26883678483061e-46
EDNRB,-2.149801446,6.39983913310406e-46
AC067852.3,-1.816437042,6.51057369966932e-46
LPAR6,-1.349656544,6.86123271474245e-46
RBM34,1.348488756,6.92572776746899e-46
GAPDH,1.630436558,7.07531363981501e-46
YWHAH,0.945247529,7.14708716381224e-46
KANK2,-1.57471457,7.5597693412064e-46
RBBP7,0.774289889,7.6243798674534e-46
RASGRF2,-1.914611847,7.6243798674534e-46
DEK,1.330141508,7.84862971901761e-46
MORN3,2.357835735,8.29099184041042e-46
ADCK5,1.593330624,8.98571013033779e-46
ZNF300P1,-2.339662201,9.17330000874953e-46
SMYD2,1.030951433,9.42379467106942e-46
ZDHHC12,1.225651938,9.5604876486399e-46
NSMCE2,0.88273726,9.58531812786682e-46
MEA1,1.10737707,9.58984373523373e-46
PTPRQ,-4.104648811,9.82907785499607e-46
CCNG1,-1.019921842,1.00724662027912e-45
ZNF423,-1.959124,1.07269191488084e-45
HSF1,1.092352413,1.07493747025001e-45
PRR14,0.839870495,1.08451616749025e-45
FDPS,1.101633319,1.22004139671579e-45
AP000866.1,-1.518776827,1.2251230360142e-45
IGHG3,3.5852335,1.22773590071853e-45
LINC02236,2.579613299,1.32432818656084e-45
PDRG1,1.099426433,1.35207177526013e-45
SYBU,-1.964517737,1.35432878967128e-45
MMP14,1.622919227,1.39919599202976e-45
MYDGF,1.239957475,1.42599953388189e-45
NKRF,0.875620508,1.43246683321407e-45
UPF3B,1.066641162,1.54048400915647e-45
ADCYAP1R1,-2.674711831,1.54276281099422e-45
DDX27,0.797703503,1.75440568331472e-45
COPS7B,0.688944394,1.82192288305328e-45
NPY2R,-5.380050582,1.93135302807975e-45
ASCL2,2.737154878,2.00319226985333e-45
DCBLD1,1.336745233,2.07551158160586e-45
QPCT,2.371444803,2.09575820065683e-45
MRTO4,1.053853704,2.1165875566162e-45
MEOX1,-2.642326,2.17692232377745e-45
SSR4,1.371543433,2.18679305127484e-45
AC095055.1,-1.403072637,2.20115213109224e-45
ACTG1,0.909740978,2.21363724598823e-45
PRKDC,1.357290874,2.22915961978773e-45
SDC1,2.348101963,2.24093306093889e-45
MRPS23,0.875437741,2.29986944581188e-45
DSEL,-1.792328486,2.41873024019966e-45
SH3BP5L,0.992939727,2.53363378373059e-45
CHML,1.666234136,2.53805907108796e-45
PES1,1.050204678,2.71605671706046e-45
SEMA3C,-2.134369068,2.73508554621918e-45
TOM1L2,-1.072453089,2.73508554621918e-45
ADD1,-0.792411816,2.73962666215469e-45
LINC02649,-1.649204521,2.98716452013531e-45
ETFBKMT,-0.951520034,3.00109805509103e-45
AC110285.6,2.432402544,3.02865210149546e-45
APOLD1,-2.247546967,3.26372448095164e-45
HSD11B1L,1.568102278,3.43519766415519e-45
ABCC10,0.86996037,3.46476890284642e-45
CLPSL1,3.623158957,3.66343895736907e-45
MEG3,-2.301319353,3.69031109764699e-45
GIMAP8,-1.698156893,3.86976308016215e-45
MFSD13A,1.269503059,3.87673323626328e-45
MSL3,0.712729101,3.90106251102553e-45
PTRH2,1.098689829,4.31995267994001e-45
R3HDM1,0.995872454,4.38861706937644e-45
RAB8A,0.783202027,4.45276764495848e-45
MYRIP,-2.716953375,4.63624295522459e-45
C16orf91,1.050381472,4.66743108562845e-45
GPRASP2,-1.378436017,4.72329089560894e-45
LTB,2.874147399,4.74808444017207e-45
RAB6C,-2.900545591,4.90826882192342e-45
PARVA,-1.160295603,4.97085343586505e-45
SECTM1,2.288049151,5.03266956771393e-45
CD19,3.458501715,5.10300601250279e-45
MTCH2,1.012205687,5.16114005301636e-45
GBA,1.027593044,5.36237331719771e-45
ALDH2,-2.403566677,5.79314130356747e-45
PTCD2,-0.799753657,5.89790257503655e-45
STC2,-2.490017611,5.91747889476754e-45
BCL2,-1.771009553,6.26625265473057e-45
FUS,0.85531376,6.44857520173374e-45
CDS2,-0.712521805,7.04047304445785e-45
SRPK3,2.377046484,7.53782989897498e-45
SRSF12,2.161823148,7.67883411996514e-45
SPX,-4.057950857,7.74374331707904e-45
PPM1E,2.991762502,7.94877652321059e-45
NAALADL1,-1.307377909,8.50720389712681e-45
PDZD2,-2.39724729,8.69084741983115e-45
SOX12,1.538581255,8.88228884076795e-45
SIX2,2.995959167,9.08239232530113e-45
KDELR2,1.005152574,9.23126842153315e-45
NOLC1,0.930281256,9.48082975691676e-45
TIGD5,1.451253781,9.57905500701556e-45
AP003071.4,-2.356401936,1.00599155080141e-44
HOXD-AS2,-1.941710987,1.01653145751421e-44
C5orf46,3.012427576,1.09871245806522e-44
MRPL51,1.207615588,1.12093323792941e-44
MRPS5,0.825720232,1.137719700266e-44
DPM2,0.944920646,1.14727794944812e-44
WRAP73,0.816954359,1.14747011988349e-44
CNOT11,0.785516691,1.15154834615453e-44
PFN2,1.586267802,1.19680089989123e-44
ANKMY2,-1.008191016,1.25909908717566e-44
HGS,0.95438024,1.29101598668603e-44
SCN9A,-2.287292578,1.32485881058404e-44
AL122035.1,-1.37020631,1.38984337748641e-44
HYOU1,1.267304842,1.40735255389999e-44
PTPN7,2.033040006,1.44589815454938e-44
RPS18P9,-0.872564702,1.52033247297177e-44
DOCK1,-0.977468573,1.54486457052922e-44
GTF2IRD2,-0.998114038,1.61128725554869e-44
AL031658.1,-2.079246543,1.70213524120455e-44
GBP1,1.89482873,1.71425035563817e-44
H2AW,2.156336632,1.73108141648542e-44
SEMA6A,-1.553311276,1.74979960778009e-44
SLC7A10,-3.787685637,1.76460589433273e-44
GAS1RR,-1.722047344,1.8002052260396e-44
TBX15,-2.400642143,2.02146316609853e-44
TMEM65,1.172549591,2.03738497901126e-44
BBIP1,-0.858493267,2.04566865105511e-44
TMEM135,-1.270539837,2.0808638169047e-44
DLGAP3,2.403967,2.09711856059017e-44
SNRPA,1.067050317,2.09994587311888e-44
RUVBL2,1.16991274,2.22912949522459e-44
LIFR-AS1,-1.762576623,2.23336621387583e-44
PPIAP22,1.019576059,2.30735069551108e-44
ATG2B,-0.977009703,2.50746692972638e-44
POLR2F,1.297269677,2.55202016883659e-44
DEUP1,2.498217459,2.64367070290685e-44
ACADS,-1.77466943,2.70393823445126e-44
DHDH,2.435044424,2.75194472842198e-44
FRMD8,0.909091042,2.86169147462166e-44
SYNPO,-1.914427086,2.91257164503853e-44
GTF2IRD2B,-0.92329751,2.92699602035716e-44
AC104260.2,-2.497417239,3.21345327930193e-44
ABT1,0.80343826,3.31259003690717e-44
AC018647.1,-1.580920749,3.42538171797655e-44
RFC5,0.948045541,3.48280220198541e-44
POLR1H,0.985130489,3.5204731705973e-44
GPR89B,1.046995533,3.61886556527563e-44
NTRK2,-2.732658182,3.72724283551146e-44
MYD88,0.86561268,3.99406885519326e-44
TRAF7,0.915182805,4.32499596904086e-44
PLAU,1.740661421,4.37583016048215e-44
NPM3,1.724811654,4.49394939976461e-44
KLC2,1.039786132,4.97916635203293e-44
MMP9,3.057794591,5.17196140194416e-44
POLE,1.047106221,5.35752027497915e-44
NOC2L,1.12962653,5.57859070010961e-44
UBASH3B,1.87270774,5.61422228424803e-44
YRDC,0.971073304,5.88347863904926e-44
ZNF726,1.830242095,6.0959352720737e-44
AC011503.2,1.801248131,6.21021893039583e-44
SAMD10,1.394390147,6.24006177914797e-44
RCBTB2,-1.096406404,6.30133169455857e-44
NAT14,1.711722149,6.37314179804565e-44
LAMTOR2,1.325122501,6.42203463678758e-44
AC015726.1,-1.184844904,6.64989490483067e-44
SKA2,1.075265612,6.93723631597474e-44
ANAPC11,1.408811918,6.98117253351853e-44
DTX2,1.262120134,7.36050652364751e-44
PIP5K1A,0.885243868,8.95705091592446e-44
TRIM47,1.528374364,9.44055303449228e-44
LRCH1,-0.825873218,9.499628072066e-44
AQP1,-1.97550788,9.74480334208585e-44
C1orf159,1.235477681,1.00073603398547e-43
RRP12,1.067056078,1.0045179655905e-43
CAVIN1,-1.658966179,1.01562930797246e-43
USP30,-0.888442079,1.07432824105256e-43
CDH13,-1.823080495,1.09095174153258e-43
GEMIN6,0.896835494,1.10479613696708e-43
TIMM44,1.1206976,1.11655919925528e-43
NUDT3,1.699201669,1.11669969184534e-43
FAM83H,1.807780843,1.1318301125473e-43
DNAH9,-2.923971475,1.16985287093546e-43
TSPAN31,-0.866223551,1.18404954040162e-43
ARHGEF26-AS1,2.299601853,1.23083336998397e-43
CCDC18,1.204043452,1.28755672151459e-43
FGF2,-2.381286742,1.28755672151459e-43
HSP90AB1,0.891705916,1.35407739165809e-43
ACTR3B,1.67409816,1.3659971100421e-43
SEC61A2,1.111049653,1.48193467301885e-43
TRIM26,0.723889779,1.52789153324729e-43
IER5L,1.756729494,1.52954119940031e-43
ARHGEF40,-1.272457318,1.56241873531431e-43
P3H1,1.160513325,1.57329497125303e-43
TAFA3,3.114691417,1.59613682967099e-43
AC011912.1,-1.647461677,1.63511624459457e-43
ABCF2,1.049881875,1.68987077330106e-43
H2AC20,2.204967731,1.7071635579151e-43
AL356019.2,-1.361047798,1.71601043304418e-43
NOD2,1.68554622,1.75512198067268e-43
ATF5,1.303901582,2.02817395151544e-43
PLCB3,1.064174596,2.03723383998642e-43
RIOK1,1.138308154,2.08825000571386e-43
SETD7,-1.383791671,2.19512390522653e-43
RBMS3-AS3,-2.541934652,2.23119688889054e-43
DCP1A,-0.726262514,2.56438572186753e-43
DNAAF5,0.981154738,2.64666958759541e-43
ATIC,0.905779315,2.7380204875854e-43
ZNF280D,-0.829142883,2.75261306586342e-43
AC004947.2,-2.394548656,2.84719598687602e-43
MUC5B,3.325964209,2.90758317629487e-43
MRPL12,2.407000618,2.98489569848471e-43
NEXN,-1.422902892,3.25423436228591e-43
ANKRD1,3.52234241,3.26068199955435e-43
PPAT,1.373283305,3.28600564981674e-43
TIMM23,0.975862088,3.31806768425049e-43
MASP2,-1.722480146,3.4773460040988e-43
SHKBP1,1.130375584,3.48592267673571e-43
PIK3R1,-1.518030653,3.56765614509382e-43
HSDL2,-1.65689826,3.59062505059011e-43
RXRG,-3.510226229,3.67940343288442e-43
CNPY3,1.066991639,3.78710551554203e-43
COL14A1,-2.39727738,3.97309817731375e-43
CGRRF1,-0.852561396,4.01750110864441e-43
IL18,1.61097575,4.40352928739196e-43
ZBP1,2.407504073,4.5253204661203e-43
LINC01197,-2.092542037,4.57623871480776e-43
PLEKHO1,1.37612075,4.92462643364145e-43
BRD4,0.699997008,5.05310992127079e-43
NFYA,1.235993412,5.16161802311464e-43
UBE2V2,0.969876507,5.22149922479098e-43
ZDHHC9,1.025804453,5.2233632201587e-43
TMED3,1.431162141,5.84132124053761e-43
ARNTL2,1.88634974,6.03276742943089e-43
DTX1,-2.066017921,6.39946160065326e-43
TNFRSF4,2.000481721,6.5697276630736e-43
GFRA3,3.382145215,6.88012844557502e-43
WT1,3.935382925,6.88848638069053e-43
VAX2,2.157645777,7.08681494696524e-43
ZNF385D,-1.92851086,7.09833118814786e-43
CA3,-3.185306559,7.13385199344991e-43
ETFDH,-1.265432724,7.1495121932718e-43
CCL17,2.915384433,8.01460012291379e-43
SAMD14,1.844372387,8.20418835325802e-43
NDST1,-0.814550758,8.97750129534395e-43
AC108860.2,2.238825299,9.12921583458234e-43
OPRD1,3.156623569,9.16667923704768e-43
HNRNPC,0.574204137,9.17658206293044e-43
AC092803.1,1.522867962,9.23981737955458e-43
IRF7,1.793730581,9.44588735723288e-43
PLAAT3,-2.3011851,9.5466499374317e-43
FAM171A2,2.205976614,1.06938024531101e-42
LINC01436,3.013899794,1.08296416700645e-42
MYCN,2.705304406,1.09028883820409e-42
RHOB,-1.63195225,1.10864190820308e-42
MAPKAPK2,0.935148218,1.11711992980965e-42
ABLIM1,-1.290380435,1.15384391727019e-42
GALE,1.605456365,1.16005349438671e-42
BCL2L2,-1.003459547,1.18803885662447e-42
GPR156,2.104500597,1.18960381180148e-42
CARF,-1.06159553,1.19035725330546e-42
C4orf48,2.242744675,1.22502005178748e-42
COMTD1,1.862288943,1.23436162683071e-42
AC106897.1,-2.296160402,1.24698502024025e-42
GMDS-DT,-0.93345401,1.30941550556931e-42
