Gene,pval_adj_Single_cell,log2FoldChange,padj,Chromosome Position,Total_Mutations
ERG28,0,0.691276802,8.17781924381339e-20,14q24.3,1
MACROH2A2,0,1.253638301,1.11838233856975e-25,10q22.1,3
GSTM3,0,-1.81879423,2.30937412981218e-42,1p13.3,1
MRPS33,0,0.426675644,1.33601683006925e-10,7q34,1
FNBP1L,0,0.187996584,0.01576488,1p22.1,4
TOMM20,0,0.416724113,5.10661895127874e-08,1q42.3,1
HAT1,0,0.357410816,1.65151668993504e-09,2q31.1,4
GAPDH,0,1.630436558,7.07531363981501e-46,12p13.31,1
SF3B2,0,0.502277999,2.87798153187415e-21,11q13.1,6
CADM1,0,0.856314603,1.89734085144523e-11,11q23.3,6
HNRNPF,0,0.7268288,2.94895307061934e-33,10q11.21,4
SERTAD4,0,1.31239236,3.13362695317112e-21,1q32.2,2
TBL1XR1,0,0.54402042,3.57994784920768e-16,3q26.32,10
ELOF1,0,0.661274526,2.66746454844723e-19,19p13.2,1
DDX1,0,0.278776967,5.67924040222924e-06,2p24.3,2
MYADM,0,-1.29774239,3.73259837535359e-35,19q13.42,2
TPRKB,0,0.753499267,1.67419257161355e-23,2p13.1,2
RPL9,0,-0.500680838,3.88871431658949e-08,4p14,2
RPS20,0,0.352073982,0.000590922,8q12.1,2
RPL19,0,0.195255454,0.035894744,17q12,3
KRT19,0,1.200305916,3.85727733940353e-10,17q21.2,8
MARCKSL1,0,1.882530221,2.6482090991014707e-59,1p35.1,2
RPS19,0,0.911503136,3.74087745633048e-17,19q13.2,1
SNORC,0,1.559479438,1.07433209702174e-08,2q37.1,1
RPS12,0,0.402744278,6.84837140054365e-06,6q23.2,2
RPS3,0,0.413168763,2.91694049764877e-05,11q13.4,2
RPLP0,0,0.321718231,0.000353308,12q24.23,4
HNRNPUL1,0,0.624034616,3.17915733521941e-28,19q13.2,8
RPL35,0,0.527584464,2.53466331694074e-06,9q33.3,3
PABPC1,0,1.185666113,1.19300628736036e-48,8q22.3,2
PA2G4,0,0.729293869,4.35341253731641e-23,12q13.2,5
RPL23,0,-0.265849684,0.001667456,17q12,3
RPS4X,0,-0.276279601,0.00145132,Xq13.1,3
RPL3,0,-0.348428735,5.43996963432848e-05,22q13.1,3
RPS8,0,0.216890025,0.014989204,1p34.1,2
FABP7,0,2.795952138,6.377415485965419e-18,6q22.31,1
SIVA1,0,0.840541175,2.62484687642308e-20,14q32.33,1
YEATS4,0,0.615186783,2.8217149908412e-15,12q15,3
POLR2B,0,0.52747179,3.53945426798325e-10,4q12,7
TUSC3,0,0.458184681,0.000119476,8p22,2
BBX,0,-0.482547432,2.04364533634957e-11,3q13.12,8
EI24,0,0.408924229,8.11961416606545e-10,11q24.2,3
MRPS21,0,1.187175143,4.35040473609349e-42,1q21.2,1
AKR1A1,0,0.676962123,2.0100667479662097e-18,1p34.1,2
DYNLL1,0,0.830152316,7.17027791351401e-35,12q24.31,1
GET3,0,0.670696282,6.06663189912769e-24,19p13.13,4
RPL7,0,0.287409814,0.000686092,8q21.11,4
TM9SF2,0,0.419226984,9.58389862769768e-08,13q32.3,6
TEAD2,0,1.024774199,2.38206283178006e-36,19q13.33,6
TRIM28,0,0.905849358,3.7638982565473797e-34,19q13.43,9
LTBP3,0,-0.365313245,6.41853782144215e-05,11q13.1,2
LSM10,0,0.837247249,3.09244979457019e-21,1p34.3,1
GNL2,0,1.047482978,3.8507229779962e-62,1p34.3,5
COPB2,0,0.757960446,2.02073942380955e-41,3q23,8
FUBP1,0,0.415986076,1.44578407398549e-12,1p31.1,6
NOTCH3,0,0.439862351,4.36050163077487e-05,19p13.12,12
GSN,0,-2.392432682,5.77899703484171e-85,9q33.2,3
USP1,0,1.28594349,4.72959498503792e-46,1p31.3,9
ACTR10,0,-0.30193318,6.6961086487976e-10,14q23.1,3
ARF1,0,1.297266302,4.69788684227364e-101,1q42.13,3
CD46,0,-0.18788885,0.040982117,1q32.2,6
MYL9,0,-1.120929656,1.85938266021692e-16,20q11.23,1
SELENOM,0,0.590503671,1.34471625148949e-05,22q12.2,1
AARD,0,3.320492929,3.83261702076068e-42,8q24.11,1
RABAC1,0,1.118263275,3.76992876499146e-20,19q13.2,1
CNIH4,0,1.005090305,9.61308680150047e-52,1q42.11,2
COPZ1,0,0.220344062,5.88960968877188e-05,12q13.13,1
KIN,0,0.696137307,1.4487592413104698e-30,10p14,2
PAK2,0,0.432545073,2.60588503109249e-10,3q29,6
ZNF639,0,0.71878926,5.36131581908357e-26,3q26.33,2
S100A6,0,0.635119214,6.83502306337479e-06,1q21.3,1
SOX4,0,1.47322808,3.83643835954203e-46,6p22.3,3
CALR,0,1.626288555,1.2025021914633401e-109,19p13.13,1
RTRAF,0,0.340899218,1.38482265980995e-07,14q22.1,1
CRIPT,0,0.265359622,3.2093439562965e-05,2p21,1
HNRNPA3,0,0.529499423,1.92208234670271e-27,2q31.2,3
MME,0,-3.293507768,3.91939814906582e-90,3q25.2,6
SLIRP,0,0.871250062,4.56227152263283e-18,14q24.3,1
CACNA1A,0,1.476508791,7.27167762729474e-24,19p13.13,27
RAN,0,1.18085618,5.09685942471232e-78,12q24.33,3
GNAS,0,1.095822129,3.52582262036266e-32,20q13.32,14
PDCD2,0,0.358224011,7.01366499522866e-08,6q27,1
RUVBL2,0,1.16991274,2.2291294952245905e-44,19q13.33,4
CSNK1A1,0,-0.480310453,1.92704099546879e-12,5q32,3
ARPC5L,0,1.31145522,4.29730146945266e-74,9q33.3,1
ZDHHC12,0,1.225651938,9.560487648639901e-46,9q34.11,2
SLC39A4,0,2.483931085,1.17087448197969e-80,8q24.3,3
KLHDC3,0,0.900943514,2.41392710780751e-27,6p21.1,4
UBE2E1,0,0.218650868,0.000226766,3p24.2,2
BTF3L4,0,0.677397272,5.3201223076208696e-30,1p32.3,1
SNX7,0,0.365816278,3.36485846082972e-05,1p21.3,6
ERGIC2,0,0.655095085,8.95542545989942e-19,12p11.22,1
MTX2,0,0.578929877,1.40902987070669e-23,2q31.1,2
MRPL22,0,0.472319002,8.12609040538916e-12,5q33.2,1
NDUFB4,0,0.628479904,6.42609826957718e-15,3q13.33,1
BAMBI,0,1.477128866,3.999738445213261e-23,10p12.1,1
LTBP4,0,-2.046422867,3.2265473454797496e-56,19q13.2,10
MYH14,0,0.562620484,0.000550963,19q13.33,17
SEPHS2,0,0.788833219,1.4223537799590398e-26,16p11.2,2
GRSF1,0,0.414004107,5.02300434152806e-12,4q13.3,1
TPD52,0,1.637013691,2.21005853415035e-35,8q21.13,5
SSBP1,0,1.11918831,9.0306135587966e-61,7q34,1
EEF2,0,-0.446444031,1.79488923401144e-08,19p13.3,9
SEPHS1,0,1.17614547,8.33616790295791e-75,10p13,3
MRPL18,0,0.889971693,3.65941698760141e-39,6q25.3,4
EFNA4,0,1.883457805,2.31912335290109e-68,1q21.3,2
COL8A1,0,0.735420759,3.40877637352002e-05,3q12.1,8
HLA-DRA,0,0.968161076,1.38162644406394e-14,6p21.32,1
HLA-C,0,1.267637696,5.65925506746558e-33,6p21.33,3
FUNDC1,0,0.523062869,5.51959114171536e-13,Xp11.3,3
MRPL16,0,0.423862542,8.755815680715429e-11,11q12.1,1
ENSA,0,0.716675556,5.27190585494004e-33,1q21.3,3
SDHD,0,-0.202609936,0.006393206,11q23.1,1
S100A2,0,3.237686513,7.15263136387012e-35,1q21.3,1
IGKC,0,1.934858413,1.32344599582255e-14,2p11.2,1
ZFP36L2,0,-1.124660159,1.40080579828263e-35,2p21,5
HLA-DPA1,0,0.552058021,1.01234070877172e-05,6p21.32,1
MT2A,0,0.343324518,0.024134019,,1
MTDH,0,0.779766109,1.13055121468692e-30,8q22.1,4
NIT2,0,0.541176773,2.3678380729435597e-16,3q12.2,2
NR1H2,0,0.154786375,0.033017088,19q13.33,5
LAPTM4B,0,1.774302493,3.10625987499525e-76,8q22.1,4
RPL15,0,-0.444588765,2.14583234495808e-10,3p24.2,2
MYLK,0,-1.814916916,2.38851727692582e-35,3q21.1,22
PCP4,0,2.292302502,4.523564573334691e-15,21q22.2,1
PFN2,0,1.586267802,1.19680089989123e-44,3q25.1,1
TMED2,0,0.727159119,1.32831475909508e-30,12q24.31,3
ARL6IP5,0,-0.530055642,1.69134546625152e-14,3p14.1,1
HSF1,0,1.092352413,1.0749374702500101e-45,8q24.3,3
DUSP1,0,-2.657629721,2.8966302306703097e-72,5q35.1,2
BRI3,0,0.504621621,3.18094315588284e-09,7q21.3,1
UBC,0,-0.1387087,0.030189933,12q24.31,16
RPL10A,0,-0.229707181,0.002367862,6p21.31,2
IFNGR2,0,0.488093849,2.62623645604306e-11,21q22.11,1
FADS2,0,2.003384305,2.78514124151276e-27,11q12.2,9
MAP3K13,0,0.816081328,3.83995096923422e-17,3q27.2,15
COMMD3,0,0.656045671,8.7372204385029e-18,10p12.2,1
TATDN1,0,0.703990667,1.3451935880685901e-21,8q24.13,3
MOB1A,0,0.355077768,2.71807549040552e-13,2p13.1,2
ALDH2,0,-2.403566677,5.79314130356747e-45,12q24.12,1
PARP14,0,0.901425395,4.61932622687993e-16,3q21.1,11
GRB2,0,0.442482804,8.3697878871864e-21,17q25.1,2
SLC7A7,0,0.978387105,4.34058567266553e-16,14q11.2,4
MS4A4A,0,-0.81325475,5.16164653024808e-07,11q12.2,1
KLF6,0,-1.080558803,4.385207351012911e-25,10p15.2,1
PPT1,0,0.338931747,4.71442473960682e-08,1p34.2,1
DAB2,0,-1.06721978,8.57152241539417e-24,5p13.1,9
PLXDC2,0,-0.221837797,0.031468699,10p12.31,4
CXCL2,0,-2.813107597,2.6882112259452696e-55,4q13.3,2
GRINA,0,0.581195371,1.87663913643815e-12,8q24.3,3
CXCL16,0,0.85488277,1.91145198710395e-16,17p13.2,1
TIMP1,0,1.147511843,3.60285683511353e-24,Xp11.3,1
ADA2,0,0.405436293,0.00235146,22q11.1,2
LILRB4,0,1.507209402,2.9210820276892503e-23,19q13.42,2
CCDC88A,0,0.568088003,5.30383482651843e-07,2p16.1,12
FN1,0,2.533639025,4.68776865668995e-59,2q35,22
IL4I1,0,3.71409564,5.36513658057681e-110,19q13.33,2
CD4,0,0.626755728,4.4322674276198e-07,12p13.31,7
LIMS1,0,0.175868902,0.031341638,2q12.3,4
LGALS9,0,1.286533193,2.48716838706208e-22,17q11.2,3
ATP6V1B2,0,0.391668609,4.06120439392218e-09,8p21.3,3
CAP1,0,0.465166879,2.74322692261162e-18,1p34.2,2
MACROH2A1,0,0.99352397,8.11420748581267e-71,5q31.1,3
GNS,0,-0.789637241,6.912189821039912e-19,12q14.3,3
RHOA,0,-0.132944615,0.035429008,3p21.31,6
QKI,0,-0.688976482,4.57131481458028e-13,6q26,2
LRRFIP1,0,-0.231457486,0.000602436,2q37.3,7
TNFAIP3,0,0.42137503,5.54398517100896e-05,6q23.3,11
PYCARD,0,1.234976515,1.31753186602366e-17,16p11.2,1
PLEKHO1,0,1.37612075,4.92462643364145e-43,1q21.2,2
ABCA1,0,-1.474076899,3.7888247569726e-31,9q31.1,11
CYRIB,0,1.151964662,1.67297638915572e-65,8q24.21,8
FCGR1A,0,2.079033446,1.58941578225597e-41,1q21.2,7
KLF4,0,-3.015823145,2.7611824829492103e-93,9q31.2,3
RASGEF1B,0,0.269763864,0.007993154,4q21.21,2
FOSB,0,-4.08441821,1.67741659142333e-72,19q13.32,3
TPM3,0,1.4810688,1.69123872017661e-140,1q21.3,8
TMEM176B,0,0.551395609,3.58284640014612e-06,7q36.1,2
CCR1,0,0.976498743,3.52643759398707e-10,3p21.31,4
WSB1,0,-0.65465267,8.11975074842639e-24,17q11.1,4
HCLS1,0,0.7369054,8.81231695068146e-10,3q13.33,5
LCP2,0,0.841620778,6.566186491022421e-15,5q35.1,4
SERPING1,0,-1.027794119,1.02987499711684e-21,11q12.1,2
SERPINB1,0,-0.325103727,8.18651788360238e-05,6p25.2,2
SPP1,0,2.840583224,2.66121615613137e-48,4q22.1,3
OLR1,0,2.137775505,3.40520736493806e-33,12p13.2,1
CLEC7A,0,2.357987458,1.63190521157228e-60,12p13.2,1
TNFSF13B,0,2.069076497,4.20146574438883e-37,13q33.3,2
CTSL,0,0.409216717,0.000164628,9q21.33,2
CXCL8,0,2.15029367,8.2610499457617e-22,4q13.3,2
HIF1A,0,0.943917463,4.07662994320324e-24,14q23.2,6
LAP3,0,0.559152083,7.012901241651951e-10,4p15.32,5
TGFBI,0,1.56386582,1.8558088622658702e-20,5q31.1,8
CAPG,0,1.441128765,3.4028504025183197e-40,2p11.2,1
RNASE6,0,0.338442645,0.007631974,14q11.2,1
ANXA5,0,-0.355420066,0.000150954,4q27,3
NAMPT,0,0.230923165,0.036322267,7q22.3,5
SGK1,0,-1.099097243,6.89967321804596e-21,6q23.2,5
KCTD12,0,-1.657350959,7.71869411434797e-60,13q22.3,2
SERPINA1,0,-0.485869212,0.02573954,14q32.13,6
LCP1,0,1.159818616,1.0751755163014e-19,13q14.13,5
ITGB2,0,1.243148941,8.65677622127528e-18,21q22.3,14
ASAH1,0,-1.006440154,1.40400952723739e-22,8p22,1
CD44,0,0.77117677,4.89322195239446e-12,11p13,6
SAT1,0,0.825757208,5.753369816254701e-15,Xp22.11,3
IFITM3,0,0.814411669,1.5595939439148002e-10,11p15.5,4
CD86,0,1.280074501,1.30838167858118e-24,3q13.33,3
SLC11A1,0,1.907716138,5.88060616952452e-33,2q35,5
CD53,0,1.014442095,1.99725756752031e-15,1p13.3,2
SLC2A3,0,-0.443693964,0.00311153,12p13.31,5
NCF2,0,0.762466734,6.82362407097655e-08,1q25.3,11
MFSD1,0,0.14371335,0.036915746,3q25.32,2
HMOX1,0,0.988283994,2.39062256848123e-12,22q12.3,4
STAT1,0,1.528753195,1.30655368512171e-39,2q32.2,4
GPX4,0,-0.531364314,1.05233071120703e-05,19p13.3,1
MSR1,0,0.716391262,1.51114703411085e-06,8p22,2
CD83,0,0.856306868,2.30276979226926e-12,6p23,4
DSE,0,-0.62207925,1.23938082669844e-08,6q22.1,13
FYB1,0,0.932736601,2.40560381440836e-12,5p13.1,6
HLA-DMB,0,0.744611912,2.75576772404337e-09,6p21.32,2
FPR3,0,1.213328715,2.1771646208055502e-14,19q13.41,3
MARCHF1,0,0.723466956,4.40701808813996e-12,4q32.2-q32.3,6
HAVCR2,0,0.649149316,3.54472638648121e-07,5q33.3,4
GSTO1,0,0.614857704,7.36369279420356e-17,10q25.1,2
BCL2A1,0,3.238220345,3.3549803270831904e-54,15q25.1,1
RNASET2,0,1.186002124,3.30874984007833e-27,6q27,2
GPR183,0,0.49341074,0.000204109,13q32.3,2
SLC16A3,0,2.816484677,4.7300715865509113e-67,17q25.3,1
LYN,0,0.962071149,2.81290977554758e-21,8q12.1,7
ACTR2,0,0.771660257,3.13438842490763e-39,2p14,3
ARPC5,0,1.07753595,9.83867144514475e-78,1q25.3,2
FPR1,0,0.501636166,0.002478375,19q13.41,1
RNF149,0,0.629679906,2.76600164961263e-33,2q11.2,2
MSN,0,0.528181059,4.09336752971314e-09,Xq12,9
MXD1,0,0.277997663,0.000565784,2p13.3,1
TGFB1,0,0.887339383,2.90984490253162e-14,19q13.2,2
PLSCR1,0,0.859718511,1.56443361389217e-18,3q24,1
ALOX5,0,0.270934898,0.039949395,10q11.21,2
SNX2,0,-0.502817903,1.28706981485209e-18,5q23.2,3
ACP5,0,0.610540195,5.14072836350509e-05,19p13.2,6
FOS,0,-3.246325586,4.82033543184522e-69,14q24.3,3
MBNL1,0,-0.603888574,2.30269785386974e-13,3q25.1-q25.2,5
RGS10,0,1.616679952,3.23275627490128e-53,10q26.11,2
HBEGF,0,-0.720298303,2.44699209779835e-07,5q31.3,2
ITGAM,0,0.360973846,0.011828739,16p11.2,9
ANPEP,0,-0.582243171,0.001821935,15q26.1,9
RNF13,0,-0.233944696,0.000273216,3q25.1,3
ATP6V0E1,0,0.325027378,0.000175185,,2
RBPJ,0,-0.387932916,5.8286915973975185e-12,4p15.2,1
EPB41L3,0,-0.939253068,1.53722604488194e-11,18p11.31,10
CFLAR,0,-0.639099063,2.39526512246202e-18,2q33.1,2
MPEG1,0,-0.421816939,0.004999275,11q12.1,6
RPL18A,0,0.713602868,2.7190174303772398e-11,19p13.11,2
EIF3L,0,-0.943866149,2.41031657709656e-38,22q13.1,6
NFIB,0,-0.321642905,0.005885147,9p23-p22.3,4
NOP53,0,-0.649272417,3.26097833044503e-09,19q13.33,1
RPS16,0,0.669915152,3.21726518632224e-12,19q13.2,1
PPDPF,0,0.861535669,8.70167296448388e-16,20q13.33,3
RPLP2,0,0.272394792,0.012986045,11p15.5,1
LYRM4,0,0.403853657,2.72738167279002e-06,6p25.1,2
CAVIN1,0,-1.658966179,1.01562930797246e-43,17q21.2,6
RPL21,0,-0.389763158,3.22260402511348e-06,13q12.2,1
SERPINB9,0,0.355401102,0.001100428,6p25.2,4
MT1G,0,1.871087265,2.15593664490229e-23,16q13,1
OBP2B,0,2.153987502,9.2823937486424e-13,9q34.2,2
POLR2F,0,1.297269677,2.55202016883659e-44,22q13.1,5
PLEKHB2,0,0.288864751,4.99249515096878e-07,2q21.1,3
FBL,0,0.905919995,4.29112537191569e-17,19q13.2,4
NDRG2,0,-0.943413323,1.17422997443298e-10,14q11.2,4
NT5C3B,0,0.33571959,0.000133189,17q21.2,2
RPS3A,0,-0.401079864,1.17258450290969e-05,4q31.3,1
RPS18,0,0.371301598,0.00012336,6p21.32,2
POMP,0,0.765527226,1.97195658538321e-21,13q12.3,3
ACTR3,0,0.969017204,6.03610598455344e-71,2q14.1,2
PTPRC,0,0.951844553,9.155822054520119e-11,1q31.3-q32.1,12
LAIR1,0,-0.295824996,0.043325022,19q13.42,3
MRC1,0,-1.418559983,2.44782743544982e-14,10p12.33,21
SKAP2,0,-0.903374134,9.60422518168982e-22,7p15.2,2
BASP1,0,1.282125881,1.46274461799045e-21,5p15.1,3
S100A10,0,0.529065207,6.96465929370125e-05,,2
FBP1,0,-0.887890703,5.43434459818972e-08,9q22.32,5
NCKAP1L,0,0.585301378,9.5276946214444e-06,12q13.13-q13.2,10
ATP6V0B,0,1.482849654,1.37136358698227e-83,1p34.1,4
VMP1,0,0.177192089,0.03885256,17q23.1,6
ITGAX,0,1.153926126,4.023895261188769e-16,16p11.2,16
EPSTI1,0,1.527336086,1.37329878694328e-30,13q14.11,2
IER3,0,0.891653246,4.95270580969107e-08,6p21.33,1
RASSF4,0,0.81832255,5.88668144859609e-10,10q11.21,5
ZFAND5,0,-0.498286459,5.93707372281497e-08,9q21.13,2
SAMSN1,0,1.121320462,7.883052881401841e-20,21q11.2,5
SLC8A1,0,-0.404568813,0.00025459,2p22.1,12
ARRB2,0,0.559208198,3.72930689684927e-12,17p13.2,1
ALOX5AP,0,0.573663077,6.49690056080326e-06,13q12.3,1
GPSM3,0,0.866072828,2.27382938542341e-14,6p21.32,1
GNA13,0,0.278247033,8.16587542798171e-05,17q24.1,4
EIF4G2,0,0.208215921,0.000844017,11p15.4,4
ARPC2,0,0.637359558,4.91482318945279e-27,2q35,4
CANX,0,0.263459113,1.09850352881279e-06,5q35.3,5
GBP1,0,1.89482873,1.71425035563817e-44,1p22.2,6
ELL2,0,-0.596800802,1.32526603775413e-09,5q15,8
LY86,0,0.50194113,6.64398734557895e-05,6p25.1,2
EVI2B,0,0.684995524,1.477837370239e-07,17q11.2,3
TIMP2,0,-0.814583603,5.7760904637913e-13,17q25.3,1
CD84,0,0.688836038,1.86169192854979e-06,1q23.3,6
FNIP2,0,-1.015112497,5.49309584533313e-25,4q32.1,4
IL1RN,0,0.947186929,2.77584784369417e-07,2q14.1,3
MMP9,0,3.057794591,5.17196140194416e-44,20q13.12,5
GNB4,0,1.185929369,2.9460177950795497e-36,3q26.33,1
TFEC,0,1.107194861,1.79921014190424e-14,7q31.2,3
APLP2,0,-0.263415614,0.000449385,11q24.3,7
PTPRE,0,-0.661014403,7.78707085596638e-17,10q26.2,7
C6orf62,0,0.530483818,5.80425015941614e-22,6p22.3,3
CTSA,0,0.694657289,5.76313159290075e-15,20q13.12,3
SLC15A3,0,1.038877147,7.31328713878623e-16,11q12.2,1
YWHAH,0,0.945247529,7.14708716381224e-46,22q12.3,1
TMBIM6,0,-0.322879952,2.23333563511923e-07,12q13.12,1
CLEC5A,0,3.690084511,3.88971219929218e-117,7q34,2
MPP1,0,-0.205723412,0.049157861,Xq28,5
PHACTR1,0,0.769959201,8.28480001843568e-08,6p24.1,11
TXNIP,0,-2.384590752,1.4817793275772501e-95,1q21.1,6
CCL2,0,-0.439330405,0.010091028,17q12,1
ARMCX6,0,0.355178307,2.34674214867389e-06,Xq22.1,3
HNMT,0,-1.556634723,7.002676516111961e-65,2q22.1,2
PIK3AP1,0,0.978572594,4.027083148609541e-15,10q24.1,5
NR4A2,0,-1.699113571,2.4756155125510493e-28,2q24.1,5
HCST,0,0.770068937,3.3175915358893e-06,19q13.12,1
GM2A,0,0.257407322,0.003552419,5q33.1,1
BMP2K,0,-0.530372575,2.95975503842936e-08,4q21.21,5
MAP3K8,0,-0.771885985,6.7390686761001e-10,10p11.23,2
MBOAT2,0,1.290976176,5.0239182687487805e-31,2p25.1,1
BIRC5,0,4.588931263,1.61351064799958e-164,17q25.3,1
MRPS11,0,0.445473937,3.795505860336499e-12,15q25.3,4
EZH2,0,3.236486274,5.25034970839339e-222,7q36.1,5
CCN1,0,-1.527293633,1.76388413333063e-27,1p22.3,3
UBE2M,0,0.945171877,4.86352119635871e-33,19q13.43,1
MRPL47,0,1.532283869,1.93153689056169e-89,3q26.33,3
SRSF2,0,0.689880761,1.38587697423522e-39,17q25.1,4
PPIF,0,1.172283795,8.59141325350866e-32,10q22.3,3
NR2F2,0,-0.274067858,0.005565946,15q26.2,1
ZWINT,0,3.043709396,5.1992725109522e-158,10q21.1,4
ADRM1,0,1.300950081,9.05708327556883e-53,20q13.33,2
FHL2,0,-0.289903285,0.026697525,2q12.2,2
PTMS,0,1.192684148,2.39171753795492e-31,12p13.31,1
MPHOSPH6,0,0.65869153,9.70841312148644e-12,16q23.3,2
JTB,0,1.489482791,9.28165273832704e-58,1q21.3,2
HR,0,1.818020888,1.01652079616164e-35,8p21.3,1
VPS4B,0,-0.143623522,0.039922181,18q21.33,6
MFSD10,0,1.063528953,2.7996886821093303e-31,4p16.3,1
B4GALT1,0,0.587384865,1.2933051959923398e-11,9p21.1,4
IRAK1,0,1.792803405,9.59897022982424e-75,Xq28,5
BRIX1,0,1.186508283,5.59879660331187e-59,5p13.2,5
AP2M1,0,0.960507227,1.94646667899014e-48,3q27.1,5
ALYREF,0,2.054795358,8.21114338717538e-114,17q25.3,1
NXT1,0,1.035692605,1.16118103709998e-39,20p11.21,1
DDX21,0,0.658800701,3.36471395242948e-16,10q22.1,8
YWHAQ,0,0.730342382,2.37935302521837e-28,2p25.1,1
COA4,0,0.966540909,6.14252732223617e-48,11q13.4,1
RHCG,0,2.143281968,1.02790590679967e-20,15q26.1,3
COA1,0,0.227791897,1.44587274255616e-05,7p13,1
MCUR1,0,0.740310227,2.5809614052502598e-28,6p23,3
SRRM2,0,-0.379356829,1.053908477878e-11,16p13.3,16
PYCR1,0,2.659402977,8.86570326394261e-87,17q25.3,3
STRAP,0,0.733411482,1.51167681034679e-18,12p12.3,3
DNAJC21,0,0.324433499,4.1628257230279e-08,5p13.2,2
SARS1,0,0.250769398,0.000151942,1p13.3,7
UQCR10,0,0.681808559,4.8923315591246786e-11,22q12.2,4
TMEM258,0,1.115524788,1.86384050515451e-52,11q12.2,1
MSMO1,0,0.448951338,0.000984585,4q32.3,1
AP1M2,0,1.265885076,4.86122284527654e-14,19p13.2,5
CFL1,0,1.346229816,1.52838272435348e-79,11q13.1,1
SEC11A,0,0.165521274,0.013287009,15q25.2-q25.3,1
SAP30,0,1.739125282,3.504152206960109e-92,4q34.1,1
BGN,0,2.450642419,4.05505274469144e-63,Xq28,5
CCT6A,0,1.342529015,1.2595861391541898e-69,7p11.2,3
NTRK2,0,-2.732658182,3.72724283551146e-44,9q21.33,11
RCAN1,0,-0.651009495,2.40292596780144e-06,21q22.12,2
MRPS12,0,1.743962731,1.10964968122626e-73,19q13.2,3
LARP6,0,-0.953489947,3.67418838135648e-15,15q23,5
PRKAG2,0,-0.165048874,0.018007072,7q36.1,6
GPI,0,1.06725311,1.16494026216126e-25,19q13.11,5
RBBP4,0,0.530129406,6.63814216704944e-13,1p35.1,5
CDH3,0,1.337758244,4.8815065040724e-12,16q22.1,3
PTPN12,0,0.427551136,1.54132398618851e-10,7q11.23,7
BID,0,0.983651074,6.85338829062051e-42,22q11.21,6
DPM1,0,0.680183547,3.64775429243166e-38,20q13.13,3
ING1,0,0.735768689,1.9426146567769402e-19,13q34,9
MUC1,0,1.291738798,2.38671225521058e-09,1q22,3
AUP1,0,0.913884982,1.79760931870516e-46,2p13.1,3
CCT4,0,0.70628375,3.24343756133005e-29,2p15,4
PRRX2,0,1.095468483,2.42524655163429e-14,9q34.11,1
PSTPIP2,0,0.447383427,0.000111076,18q21.1|tdb7990,1
ACTN4,0,0.675070126,9.36747185191512e-16,19q13.2,10
ANP32A,0,0.519705829,8.35891931161548e-23,15q23,2
PRPF38A,0,0.329837738,3.79188656622887e-10,1p32.3,3
SLC2A1,0,2.324225424,3.7717498737843106e-65,1p34.2,5
GJB3,0,3.440835818,1.71328441391479e-52,1p34.3,6
HSPA9,0,0.314888126,3.06930265768107e-07,5q31.2,4
SLC6A14,0,0.810678587,0.002282803,Xq23,8
CHMP4B,0,0.629100954,2.0457253610205706e-21,20q11.22,1
