Gene,Chromosome Position,log2FoldChange,padj,Total_Mutations
FAT4,4q28.1,-2.071849089,2.8568951650905703e-47,27
PDZD2,5p13.3,-2.39724729,8.69084741983115e-45,27
HERC1,15q22.31,-0.922901048,4.0463340258694305e-31,27
CACNA1A,19p13.13,1.476508791,7.27167762729474e-24,27
CACNA1F,Xp11.23,-1.179352084,3.53025450155254e-16,27
TAF1,Xq13.1,-0.427526264,8.747524419734239e-11,27
RNF213,17q25.3,0.61644395,2.21526505587396e-10,27
ATM,11q22.3,-0.459735089,5.77453585826245e-08,27
SACS,13q12.12,-0.568835591,1.12370274881331e-07,27
MGAM,7q34,-0.922181121,4.86621741962608e-06,27
ASH1L,1q22,-0.303771594,0.000436405,27
NOTCH2,1p12,-0.211343117,0.043208623,27
CBFB,16q22.1,0.993120358,8.07150216967782e-61,26
CHD7,8q12.2,1.146627759,1.97318780034971e-37,26
DNAH1,3p21.1,-1.042287608,2.16881249971741e-29,26
F5,1q24.2,1.725177293,1.48216809653101e-19,26
ATRX,Xq21.1,-0.539982992,1.31441418015387e-12,26
PCNT,21q22.3,0.563153942,3.33976909569058e-11,26
ZDBF2,2q33.3,-1.044778836,1.3182009910874e-10,26
RB1,13q14.2,-0.621598323,3.51924312374475e-10,26
SPHKAP,2q36.3,-1.261919077,3.41226070839835e-05,26
CEP350,1q25.2,0.287471893,0.000509864,26
BRWD1,21q22.2,-0.176221289,0.008315351,26
FREM1,9p22.3,-3.252141148,4.06871825525517e-78,25
PTPRB,12q15,-2.460175343,1.91680979475367e-76,25
MYO10,5p15.1,1.657366221,5.22218329078578e-63,25
PLXNA4,7q32.3,-3.229930555,1.8992667290927e-53,25
DYNC2H1,11q22.3,-1.564357432,2.3982631254188598e-48,25
VPS13D,1p36.22-p36.21,-0.783401183,6.36393166445886e-25,25
BRCA1,17q21.31,1.066562517,5.66248983947478e-19,25
FBN1,15q21.1,-1.500150051,3.82467099679101e-17,25
TLN1,9p13.3,-0.640466297,3.28626851081891e-15,25
TCHH,1q21.3,0.97771952,1.4858185033778e-08,25
NEXMIF,Xq13.3,0.62121913,0.001036995,25
SSPOP,7q36.1,-0.439547843,0.005259397,25
CENPE,4q24,3.403388521,5.3511660909695195e-202,24
TNXB,6p21.33-p21.32,-4.876565183,5.19991579026376e-156,24
ABCA8,17q24.2,-4.938913173,7.19959820869876e-140,24
BRCA2,13q13.1,2.062175687,3.51869194964824e-74,24
VWF,12p13.31,-2.4018309,7.43099312636349e-68,24
PCDH19,Xq22.1,-2.576799016,8.446718296682799e-63,24
THSD7B,2q22.1,-2.446302076,1.9041959262105801e-38,24
PKD1L1,7p12.3,-1.644712428,1.09432261824328e-35,24
ANKRD12,18p11.22,-0.58292639,1.04107990080373e-12,24
GOLGB1,3q13.33,-0.450452872,4.17926380893778e-12,24
CACNA1C,12p13.33,-0.84459215,1.2267221327596002e-10,24
TPR,1q31.1,0.432329108,7.675152688644321e-10,24
FREM2,13q13.3,1.442132757,1.26749004276396e-09,24
SDK1,7p22.2,-0.765123542,3.28002124093342e-08,24
SCN2A,2q24.3,-1.160063131,3.1310571140903e-07,24
RP1,8q11.23-q12.1,-1.06248428,1.20788764695404e-05,24
AHNAK2,14q32.33,0.727503339,7.35508078152832e-05,24
NIPBL,5p13.2,-0.28754215,0.000110698,24
ALMS1,2p13.1,0.26634444,0.000452726,24
ERBB2,17q12,-0.252197939,0.049372787,24
COL14A1,8q24.12,-2.39727738,3.9730981773137495e-43,23
BAZ2B,2q24.2,-0.916693658,7.45472797569694e-28,23
WDFY3,4q21.23,-0.793625251,7.22572931557014e-26,23
FLNC,7q32.1,-1.713409174,5.04729035981793e-24,23
FAT2,5q33.1,-1.136188744,1.60292188137328e-08,23
LRBA,4q31.3,-0.474982628,8.28294099244958e-08,23
ITPR2,12p11.23,-0.585300294,1.66593793129864e-06,23
HTT,4p16.3,-0.301310347,6.42358677495393e-06,23
MEGF8,19q13.2,-0.373913207,6.69350124652418e-05,23
CREBBP,16p13.3,-0.242978683,0.000286922,23
ARID1B,6q25.3,-0.175518083,0.005154338,23
COL22A1,8q24.23-q24.3,4.703625794,4.33063914368058e-90,22
LAMA2,6q22.33,-2.893865959,1.87131645118644e-87,22
MYH1,17p13.1,-4.092557916,2.07978487975468e-75,22
KIF26B,1q44,2.990545833,1.36744638490443e-71,22
IGSF10,3q25.1,-2.922408088,1.85283461812111e-59,22
FN1,2q35,2.533639025,4.68776865668995e-59,22
TENM2,5q34,-2.761666109,7.61203651866184e-39,22
MYLK,3q21.1,-1.814916916,2.3885172769258202e-35,22
ZFPM2,8q23.1,-1.570629889,5.741760268464e-24,22
TSHZ3,19q12,-0.931275915,1.14382624265207e-22,22
SEMA3D,7q21.11,-1.80767086,1.86028465092083e-20,22
TENM3,4q34.3-q35.1,-1.645802975,6.74228526270806e-20,22
BOD1L1,4p15.33,-0.689070476,4.793142667066651e-19,22
THSD7A,7p21.3,-1.372839397,8.89166693664667e-19,22
NCOA6,20q11.22,0.482038254,1.48630489959079e-16,22
ASTN1,1q25.2,-1.73639141,1.4808033183270902e-15,22
ATP10B,5q34,1.612367244,4.949242982374041e-15,22
MYO16,13q33.3,-1.611043601,3.00172370098015e-13,22
HSPG2,1p36.12,-1.062795159,1.15931507336395e-12,22
TRRAP,7q22.1,0.421331205,2.03172810824571e-12,22
MAP2,2q34,1.071306615,2.2515619766637597e-11,22
ZFHX3,16q22.2-q22.3,-0.570269487,1.16010499615938e-09,22
SPTB,14q23.3,-0.991534612,1.39280680297131e-07,22
SVIL,10p11.23,-0.33537102,0.000166934,22
PLXNA2,1q32.2,0.41359015,0.002320062,22
CPLANE1,5p13.2,-0.283123729,0.002576123,22
MGA,15q15.1,-0.197807275,0.002743843,22
MUC4,3q29,-0.605249077,0.006555433,22
TRPM6,9q21.13,-0.460562533,0.008108221,22
BSN,3p21.31,-0.347202139,0.019743987,22
MKI67,10q26.2,4.046040969,1.7109706163851701e-149,21
COL6A6,3q22.1,-3.525247099,7.46637091019422e-84,21
FBN3,19p13.2,3.809329292,6.69265814623647e-56,21
CFH,1q31.3,-1.552540619,1.2142258330433e-29,21
ARHGEF11,1q23.1,0.748050987,2.48911853716101e-26,21
SPTBN2,11q13.2,1.352445718,4.20118774823231e-24,21
PHKA2,Xp22.13,-0.659832379,6.390800860669351e-17,21
MRC1,10p12.33,-1.418559983,2.4478274354498202e-14,21
VPS13A,9q21.2,-0.662506556,3.08926296455256e-14,21
SETD2,3p21.31,-0.387082185,3.1283046082847e-13,21
QSER1,11p13,0.624488883,1.0663196384372198e-11,21
FASN,17q25.3,-1.144593343,9.02395104953196e-11,21
EPG5,18q12.3-q21.1,-0.440495531,2.90834980355665e-10,21
SNRNP200,2q11.2,0.334338002,2.10889382357703e-08,21
CPS1,2q34,-0.9136749,1.11709587662008e-06,21
HELZ,17q24.2,-0.267645155,0.000436388,21
OTOGL,12q21.31,-0.600434112,0.00130824,21
ANK1,8p11.21,0.453483356,0.009514338,21
ZNF462,9q31.2,0.211137152,0.038178708,21
COL11A1,1p21.1,5.694151904,5.91466780837578e-175,20
RAD54B,8q22.1,2.536939415,3.4492854690377e-159,20
CIT,12q24.23,2.6060673,1.12740324278634e-152,20
NAV3,12q21.2,-2.328413482,1.3164550174927302e-58,20
ABCC9,12p12.1,-2.474398141,2.6531950302591303e-46,20
RIMBP2,12q24.33,-2.173425899,6.14686708453372e-30,20
LRRK2,12q12,-1.460211099,1.224007686708e-29,20
MICAL2,11p15.3,1.035258036,2.36401809156667e-26,20
ARHGAP31,3q13.32-q13.33,-0.725749923,2.26908607943537e-13,20
ARHGAP35,19q13.32,-0.477814104,5.5670710414561e-11,20
SCN5A,3p22.2,-1.102678198,6.68832093096458e-09,20
PLEC,8q24.3,0.525939891,1.07511795063402e-07,20
KDM6A,Xp11.3,-0.389057848,1.64473894438903e-06,20
KCNT2,1q31.3,-0.759368681,5.86484170758419e-06,20
LRRK1,15q26.3,0.360752537,7.75869069111692e-06,20
DCHS1,11p15.4,-0.602956036,8.78018182471853e-06,20
ZNF208,19p12,-0.913001512,1.13551522616975e-05,20
TEP1,14q11.2,-0.20977697,0.002043965,20
CSPP1,8q13.1-q13.2,0.220885195,0.004544716,20
CDC42BPA,1q42.13,-0.230491248,0.012942338,20
ITPR1,3p26.1,-2.422868385,3.7386884538038e-74,19
DMXL1,5q23.1,-1.319616012,4.83393473127961e-59,19
CAD,2p23.3,1.093278888,1.02445299477024e-50,19
SCN9A,2q24.3,-2.287292578,1.3248588105840402e-44,19
MYOM2,8p23.3,-2.894585667,2.6628774755271597e-42,19
CEP250,20q11.22,0.972710741,1.75118122450462e-38,19
HCFC1,Xq28,0.667522068,9.77040704350774e-38,19
TLR4,9q33.1,-1.489471024,2.9502841996724403e-35,19
TNN,1q25.1,-2.238957994,4.8318840612268395e-34,19
PLCH1,3q25.31,1.897480297,5.93965419564526e-27,19
ITPR3,6p21.31,1.219135745,2.83221148924679e-24,19
MYH7B,20q11.22,-1.023388079,2.57448317654709e-19,19
CEP170,1q43,0.790009674,3.73235009933851e-19,19
KAT6B,10q22.2,-0.747570046,2.85336733035491e-18,19
TBC1D4,13q22.2,-0.740625536,1.75650752797375e-17,19
HECTD4,12q24.13,-0.55944459,5.5548977191434e-17,19
ERICH3,1p31.1,-2.341839067,1.10230666007924e-16,19
GCC2,2q12.3,-0.674768489,1.65920082943181e-16,19
YLPM1,14q24.3,-0.424018676,8.1603946744833e-16,19
CHD5,1p36.31,1.717743812,4.88868642274599e-15,19
NBEA,13q13.3,-1.194185856,1.71939058824123e-14,19
VCAN,5q14.2-q14.3,1.133186839,7.1166081090707e-14,19
ATAD2B,2p24.1-p23.3,0.501322124,1.27536652908399e-13,19
SETX,9q34.13,-0.517736192,1.32691649143147e-13,19
MYO3A,10p12.1,2.033843619,1.7199164624070001e-12,19
ATP2B1,12q21.33,-0.61730908,8.004825272384559e-12,19
GRIA3,Xq25,-1.147643097,4.69820626583719e-11,19
REV3L,6q21,-0.682346688,2.00253764592429e-10,19
DOCK4,7q31.1,-0.551196036,2.9318289570019704e-09,19
DSP,6p24.3,0.905086919,4.61555649120905e-09,19
NBAS,2p24.3,-0.278372861,1.45180238759755e-06,19
UTP20,12q23.2,0.388991211,1.90698205395165e-06,19
MED12L,3q25.1,0.754400245,3.66542694015721e-06,19
TRIO,5p15.2,-0.354854779,2.63915320162067e-05,19
PLCB4,20p12.3-p12.2,0.418018752,0.000118288,19
RAPGEF6,5q31.1,-0.217871012,0.000272547,19
PEG3,19q13.43,0.76962281,0.006028209,19
CENPF,1q41,4.245062481,4.44026963973653e-225,18
ABCA9,17q24.2,-4.469943256,1.41037474426529e-157,18
MYH11,16p13.11,-3.866376562,9.77672202982949e-84,18
GRIA1,5q33.2,-4.489975299,2.09824248924327e-63,18
KIAA0232,4p16.1,-1.142970368,8.068682753758049e-55,18
ZNF687,1q21.3,0.877677276,3.4546683907233596e-42,18
MAGI1,3p14.1,-1.17009763,1.3716092625947199e-41,18
SCN3A,2q24.3,-2.693866453,2.31598100898287e-39,18
CHD9,16q12.2,-1.068366715,4.14885051138253e-39,18
AFF3,2q11.2,-2.479477516,2.40444805402444e-37,18
MARF1,16p13.11,-0.678598913,6.20246600349158e-35,18
APC,5q22.2,-0.852046348,6.39102293332651e-28,18
LAMA3,18q11.2,-2.108074519,1.32382452184948e-27,18
RIMS2,8q22.3,2.697342506,3.45278672751753e-27,18
NLRC5,16q13,1.150684592,4.34062824323191e-24,18
HEATR1,1q43,0.903503206,5.0295988002233005e-24,18
ADAMTSL1,9p22.2-p22.1,-1.277752104,7.106673555970141e-20,18
TECTA,11q23.3,-0.864689414,4.0828647173536e-18,18
PIK3C2B,1q32.1,-0.680282556,5.1388719744280795e-18,18
PRRC2C,1q24.3,0.603453574,1.53396670559112e-16,18
JMJD1C,10q21.3,-0.643059944,9.34831553349081e-15,18
MYH10,17p13.1,-0.64671003,1.9959627109544e-12,18
SHROOM2,Xp22.2,0.917736348,2.80445844700066e-12,18
WDR44,Xq24,-0.466414247,4.31091653633605e-12,18
LTBP1,2p22.3,0.748540684,1.95811766779527e-11,18
KMT2E,7q22.3,-0.452816183,4.4673594110093694e-11,18
PHF3,6q12,-0.436171751,8.345437488087479e-11,18
HECTD1,14q12,-0.489843472,8.57507043871517e-11,18
DSCAML1,11q23.3,-1.213604375,2.71768301031078e-09,18
CDH8,16q21,-1.338543787,2.9357540284964403e-09,18
HDLBP,2q37.3,0.380955643,8.608264715610931e-09,18
WNK3,Xp11.22,0.848423548,1.46857176518913e-08,18
COL1A2,7q21.3,0.893651501,1.63095333634045e-08,18
ARFGEF1,8q13.2,0.443169551,2.49149876502914e-08,18
RTL9,Xq23,-0.922408225,1.19578652229562e-07,18
PCNX2,1q42.2,0.470699567,1.37061909437369e-07,18
MYO5B,18q21.1,0.779039721,6.31714226270318e-07,18
UNC79,14q32.12,-0.549480291,1.01308429201953e-06,18
NID1,1q42.3,-0.591396974,4.70739586703985e-06,18
KALRN,3q21.1-q21.2,-0.48040213,6.34596324188316e-06,18
ACACA,17q12,-0.482056288,1.11056977292929e-05,18
EML5,14q31.3,-0.864434254,3.94442472096932e-05,18
ADAMTSL3,15q25.2,-0.755974102,8.01451338585748e-05,18
DCC,18q21.2,0.77052237,0.000101822,18
NAV1,1q32.1,-0.437702295,0.000363432,18
ANKRD11,16q24.3,0.22500749,0.000555925,18
MADD,11p11.2,-0.164581357,0.002801357,18
DOCK7,1p31.3,0.238053005,0.005319584,18
MIA2,14q21.1,0.232878161,0.006399462,18
CASP8,2q33.1,0.18969536,0.012240392,18
COL7A1,3p21.31,-0.4969004,0.016036249,18
ESPL1,12q13.13,3.349615288,1.72781257619779e-151,17
ATAD2,8q24.13,2.544741664,1.53497621043792e-119,17
SCN4A,17q23.3,-4.006492409,1.09049003042032e-76,17
ABCB1,7q21.12,-2.507929944,1.6095438033383201e-75,17
SMARCA4,19p13.2,1.333716706,8.6286829549653e-67,17
SCN7A,2q24.3,-3.909260345,1.28760941380899e-64,17
AMER1,Xq11.2,1.197090933,6.42102491259156e-48,17
NEDD9,6p24.2,-1.407973457,8.64165504279548e-38,17
ANKHD1-EIF4EBP3,5q31.3,-0.947068611,1.31985496733761e-37,17
TASOR2,10p15.1,1.324781115,5.89612440657458e-37,17
KIAA1549L,11p13,2.101088988,5.836718918108611e-35,17
GRID1,10q23.1-q23.2,-1.292213282,9.12721495863805e-34,17
KIF13A,6p22.3,-0.985664434,1.2865079547856e-31,17
CDH23,10q22.1,-1.859520025,3.948629920078141e-31,17
IGSF1,Xq26.1,-2.651376412,7.53736772789296e-26,17
AKAP6,14q12,-1.347043892,8.05282427615077e-26,17
SCN11A,3p22.2,-1.759400679,2.08987002515069e-25,17
COL5A1,9q34.3,1.536015508,1.0585990302201601e-23,17
BDP1,5q13.2,-0.822943746,2.25959565265151e-21,17
TJP1,15q13.1,-0.681978263,1.09628922906971e-19,17
KIF16B,20p12.1,-0.814198423,2.6930145245982897e-18,17
CARD11,7p22.2,1.306952662,8.7599566975827e-18,17
CARMIL3,14q11.2,1.170172291,1.8616885186240202e-15,17
ATP7A,Xq21.1,-0.656605993,9.00483376710035e-13,17
NHS,Xp22.2-p22.13,-0.746011106,1.8440256886493597e-11,17
TET1,10q21.3,0.867946376,4.4857424034995394e-11,17
NRK,Xq22.3,-1.14014297,2.06267272146595e-09,17
MYH15,3q13.13,1.050483233,4.15431824182412e-08,17
GRIN2B,12p13.1,-1.233726993,2.3798610087152e-07,17
GRIK2,6q16.3,1.005407175,1.48052690250905e-06,17
TNC,9q33.1,0.935511784,1.61748465535577e-06,17
THADA,2p21,0.291877434,1.74283774145051e-06,17
MYO15A,17p11.2,-0.51674125,3.3512221851401e-06,17
CASP8AP2,6q15,0.40941242,9.36591204627095e-06,17
C2CD3,11q13.4,0.296501537,1.1671182214338e-05,17
GCN1,12q24.23,0.240309709,9.65391886721151e-05,17
HIVEP2,6q24.2,-0.335823112,0.000108663,17
TNRC6B,22q13.1,-0.251374664,0.000123335,17
STAG2,Xq25,-0.240706237,0.00030196,17
BRWD3,Xq21.1,0.311834747,0.000317151,17
SLITRK2,Xq27.3,-0.809459081,0.000458876,17
MYH14,19q13.33,0.562620484,0.000550963,17
CR1,1q32.2,-0.629671012,0.000801145,17
CACNA1D,3p21.1,-0.610044456,0.001037314,17
WWC3,Xp22.2,0.243556111,0.001433759,17
ARID4B,1q42.3,0.22262983,0.004083794,17
ASXL2,2p23.3,-0.212803647,0.005548059,17
MYO18A,17q11.2,-0.297641802,0.0055946,17
ZMYM3,Xq13.1,0.141245931,0.009379881,17
TENM4,11q14.1,-0.420036669,0.012836995,17
MAP3K4,6q26,-0.150789854,0.012877414,17
EP400,12q24.33,-0.138050775,0.015517206,17
EP300,22q13.2,-0.163550413,0.029604032,17
ATR,3q23,0.14549555,0.03716944,17
IQGAP3,1q22,4.661288516,2.30906661877848e-214,16
PLXNA3,Xq28,1.063182822,6.1460167942172294e-55,16
UNC13A,19p13.11,2.651055444,1.40580492220132e-47,16
SYBU,8q23.2,-1.964517737,1.3543287896712801e-45,16
BCL9,1q21.2,1.151607574,1.78655468295563e-42,16
SLIT2,4p15.31,-1.712368381,1.05910903495452e-39,16
ERBB4,2q34,-3.192326782,2.51819222863119e-39,16
EVPL,17q25.1,1.80263616,1.8457389851958598e-29,16
COL4A6,Xq22.3,-2.492632409,4.04882212874011e-28,16
CACNA1G,17q21.33,-2.126802578,9.72150497103266e-26,16
DOCK3,3p21.2,1.722873271,2.49209071037771e-24,16
MYO9A,15q23,-0.880359924,5.43250234067306e-23,16
PHF20L1,8q24.22,0.68291339,8.54213123457511e-22,16
LAMA4,6q21,-1.406404735,3.42895081505369e-21,16
SETDB1,1q21.3,0.651784024,2.01728284895723e-20,16
ADGRB3,6q12-q13,-1.825705243,6.34344896725153e-20,16
NUP188,9q34.11,0.495937472,4.30808929063805e-18,16
HEG1,3q21.2,-0.940990943,9.03293141768989e-18,16
RALGAPA2,20p11.23,-0.859422811,1.62036420817177e-16,16
ITGAX,16p11.2,1.153926126,4.0238952611887697e-16,16
SPAG17,1p12,-1.611853868,5.26213518087333e-16,16
CNTNAP2,7q35-q36.1,2.37433422,1.38390451721304e-15,16
SUCO,1q24.3,0.773945411,4.63525186039244e-15,16
ATP1A4,1q23.2,-1.777436656,1.61615821795767e-13,16
PTCHD4,6p12.3,-1.189008267,2.45929181889989e-13,16
FCRL5,1q23.1,1.775695963,3.17670265391665e-13,16
CNTN1,12q12,-1.339037338,4.43867884410339e-13,16
CCNB3,Xp11.22,1.306844231,4.77521732769435e-13,16
ADCY2,5p15.31,1.503123659,9.89002291185786e-12,16
SRRM2,16p13.3,-0.379356829,1.0539084778780001e-11,16
ATP9A,20q13.2,-0.722508136,4.128782392138009e-11,16
FBXW7,4q31.3,-0.510802216,5.83120165592217e-11,16
SAMD9,7q21.2,0.717552714,7.6401702667655e-10,16
BACH2,6q15,-0.769860165,7.95591017145202e-10,16
PLCL2,3p24.3,-0.788480636,1.2184939741969201e-09,16
WDR17,4q34.2,-1.11305085,3.4819033712392304e-09,16
TRIP11,14q32.12,-0.420522446,4.01389462121921e-09,16
NAV2,11p15.1,-0.774174011,2.57129323357607e-08,16
TP53BP1,15q15.3,-0.395483488,4.88593431767536e-08,16
AKAP13,15q25.3,-0.427067147,5.99852305803364e-08,16
VCPIP1,8q13.1,0.401006982,2.57347314895477e-07,16
SYCP2,20q13.33,0.864190354,2.84148615586625e-07,16
IREB2,15q25.1,-0.300838422,6.41379903573204e-06,16
PDE3A,12p12.2,-0.739282631,6.35747557921413e-05,16
ABCA4,1p22.1,0.872623246,7.13367960116681e-05,16
COL4A5,Xq22.3,-0.704247714,0.000107811,16
CRB1,1q31.3,-0.5430093,0.000425276,16
ZNF831,20q13.32,0.582053321,0.000742784,16
OTOF,2p23.3,0.703437453,0.00096597,16
COL4A4,2q36.3,0.507745052,0.001298858,16
SRGAP1,12q14.2,-0.275241644,0.001435874,16
CEP162,6q14.2-q14.3,-0.215995276,0.002362915,16
HIVEP3,1p34.2,-0.255622144,0.002683759,16
BRINP1,9q33.1,-0.788887049,0.004188613,16
ARID2,12q12,-0.199913173,0.007987844,16
USP15,12q14.1,-0.137572339,0.021407427,16
ADCY10,1q24.2,-0.357609457,0.022774011,16
UBC,12q24.31,-0.1387087,0.030189933,16
TNIK,3q26.2-q26.31,-0.288723024,0.042719977,16
CRNKL1,20p11.23,0.108122379,0.043663914,16
SALL1,16q12.1,-0.377068496,0.043784181,16
POLQ,3q13.33,3.322040262,3.84180286554282e-164,15
BLM,15q26.1,2.837801715,6.96333733418245e-163,15
ACACB,12q24.11,-4.529417124,4.1995850681491105e-154,15
PARP1,1q42.12,1.449344302,3.9444692712184804e-112,15
STAB2,12q23.3,-3.496459824,4.53198644041674e-93,15
RUNX1T1,8q21.3,-2.488636694,6.849019099912941e-93,15
FRY,13q13.1,-1.877689194,1.7214753240705e-74,15
GRIK1,21q21.3,-3.068567815,4.51779954177355e-69,15
MAGED1,Xp11.22,1.400366995,4.502150912352e-67,15
ADGRF5,6p12.3,-2.109785656,6.26193353593465e-64,15
ITSN1,21q22.11,-2.004603735,1.3549565060903202e-58,15
TEK,9p21.2,-2.236305205,1.7103431872634e-56,15
CELSR3,3p21.31,2.236992361,4.87932323901219e-54,15
CTTNBP2,7q31.31,-2.585306614,3.50696788796347e-53,15
KDM5B,1q32.1,1.033446922,2.3764452651961398e-42,15
RASGRF1,15q25.1,2.663833746,3.2838064252039797e-41,15
PLEKHH2,2p21,-1.925177949,5.1375997849985094e-40,15
RPGR,Xp11.4,-0.921208773,1.65923804577718e-37,15
ACTN2,1q43,2.846142025,3.1496155573248204e-35,15
XPO1,2p15,0.631149712,1.90736393852854e-30,15
TRAPPC9,8q24.3,0.731487564,3.93848296713608e-22,15
DENND5B,12p11.21,-1.117177501,4.81497738455874e-22,15
ADCY9,16p13.3,-0.756722507,1.87053135863886e-19,15
DENND4B,1q21.3,0.555409886,2.2030571451119897e-18,15
NUP160,11p11.2,0.696853211,2.41991139481834e-18,15
